customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Tenure Group,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Monthly Charge Group,TotalCharges,Churn_Numeric,Churn,SeniorCitizenText
0434-CSFON,Female,0,Yes,No,47,Long,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,High,4707.1,,No,No
1215-FIGMP,Male,0,No,No,60,Long,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,High,5450.7,,No,No
0526-SXDJP,Male,0,Yes,No,72,Long,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,Medium,2962,,No,No
0557-ASKVU,Female,0,Yes,Yes,18,Medium,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,Medium,957.1,,No,No
5698-BQJOH,Female,0,No,No,9,New,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,High,857.25,,Yes,No
5122-CYFXA,Female,0,No,No,3,New,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,High,244.1,,No,No
8627-ZYGSZ,Male,0,Yes,No,47,Long,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,High,3650.35,,No,No
3410-YOQBQ,Female,0,No,No,31,Medium,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,High,2497.2,,No,No
3170-NMYVV,Female,0,Yes,Yes,50,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,Low,930.9,,No,No
7410-OIEDU,Male,0,No,No,10,New,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,High,887.35,,No,No
2273-QCKXA,Male,0,No,No,1,New,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,Medium,49.05,,No,No
0731-EBJQB,Female,0,Yes,Yes,52,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,Low,1090.65,,No,No
1891-QRQSA,Male,1,Yes,Yes,64,Long,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,High,7099,,No,Yes
8028-PNXHQ,Male,0,Yes,Yes,62,Long,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,Low,1424.6,,No,No
5630-AHZIL,Female,0,No,Yes,3,New,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,Medium,177.4,,No,No
2673-CXQEU,Female,1,No,No,56,Long,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,High,6139.5,,No,Yes
6416-JNVRK,Female,0,No,No,46,Long,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,Medium,2688.85,,No,No
5590-ZSKRV,Female,0,Yes,Yes,8,New,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,Medium,482.25,,No,No
0191-ZHSKZ,Male,1,No,No,30,Medium,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,High,2111.3,,No,Yes
3887-PBQAO,Female,0,Yes,Yes,45,Long,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,Low,1216.6,,No,No
5919-TMRGD,Female,0,No,Yes,1,New,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,High,79.35,,Yes,No
8108-UXRQN,Female,0,Yes,Yes,11,New,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,Medium,565.35,,No,No
9191-MYQKX,Female,0,Yes,No,7,New,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,High,496.9,,Yes,No
9919-YLNNG,Female,0,No,No,42,Long,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,High,4327.5,,No,No
0318-ZOPWS,Female,0,Yes,No,49,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,Low,973.35,,No,No
4445-ZJNMU,Male,0,No,No,9,New,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,High,918.75,,No,No
4808-YNLEU,Female,0,Yes,No,35,Medium,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,Medium,2215.45,,No,No
1862-QRWPE,Female,0,Yes,Yes,48,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,Low,1057,,No,No
2796-NNUFI,Female,0,Yes,Yes,46,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,Low,927.1,,No,No
3016-KSVCP,Male,0,Yes,No,29,Medium,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,Low,1009.25,,No,No
4767-HZZHQ,Male,0,Yes,Yes,30,Medium,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,High,2570.2,,No,No
2424-WVHPL,Male,1,No,No,1,New,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,High,74.7,,No,Yes
7233-PAHHL,Male,0,Yes,Yes,66,Long,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84,High,5714.25,,No,No
6067-NGCEU,Female,0,No,No,65,Long,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,High,7107,,No,No
9848-JQJTX,Male,0,No,No,72,Long,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,High,7459.05,,No,No
8637-XJIVR,Female,0,No,No,12,New,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,High,927.35,,Yes,No
9803-FTJCG,Male,0,Yes,Yes,71,Long,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,Medium,4748.7,,No,No
0278-YXOOG,Male,0,No,No,5,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,Low,113.85,,Yes,No
3212-KXOCR,Male,0,No,No,52,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21,Low,1107.2,,No,No
4598-XLKNJ,Female,1,Yes,No,25,Medium,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,High,2514.5,,Yes,Yes
6380-ARCEH,Male,0,No,No,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,Low,20.2,,No,No
3679-XASPY,Female,0,Yes,Yes,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,Low,19.45,,No,No
7123-WQUHX,Male,0,No,No,38,Long,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95,High,3605.6,,No,No
5386-THSLQ,Female,1,Yes,No,66,Long,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,Medium,3027.25,,No,Yes
3192-NQECA,Male,0,Yes,No,68,Long,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110,High,7611.85,,Yes,No
6180-YBIQI,Male,0,No,No,5,New,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,Low,100.2,,No,No
6728-DKUCO,Female,0,Yes,Yes,72,Long,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,High,7303.05,,No,No
9750-BOOHV,Female,0,No,No,32,Medium,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,Low,927.65,,No,No
8597-CWYHH,Male,0,No,No,43,Long,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,High,3921.3,,No,No
2848-YXSMW,Male,0,Yes,Yes,72,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,Low,1363.25,,No,No
0486-HECZI,Male,0,Yes,No,55,Long,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,High,5238.9,,Yes,No
4549-ZDQYY,Female,0,No,No,52,Long,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,Medium,3042.25,,No,No
5712-AHQNN,Female,0,No,No,43,Long,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,High,3954.1,,No,No
4846-WHAFZ,Female,1,Yes,No,37,Long,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,High,2868.15,,Yes,Yes
5256-SKJGO,Female,0,Yes,Yes,64,Long,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,Medium,3423.5,,No,No
3071-VBYPO,Male,0,Yes,Yes,3,New,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,High,248.4,,No,No
9560-BBZXK,Female,0,No,No,36,Medium,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,Low,1126.35,,No,No
5299-RULOA,Female,0,Yes,Yes,10,New,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,High,1064.65,,Yes,No
8402-OOOHJ,Female,0,No,No,41,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,Low,835.15,,No,No
9445-ZUEQE,Male,0,Yes,Yes,27,Medium,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,High,2151.6,,No,No
1091-SOZGA,Female,0,Yes,Yes,56,Long,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,High,5515.45,,No,No
2928-HLDBA,Female,0,No,No,6,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,Low,112.75,,No,No
0404-SWRVG,Male,0,No,No,3,New,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,High,229.55,,Yes,No
6497-TILVL,Female,0,Yes,Yes,7,New,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,Medium,350.35,,No,No
7219-TLZHO,Female,0,Yes,Yes,4,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,Low,62.9,,No,No
4622-YNKIJ,Male,0,No,No,33,Medium,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,High,3027.65,,No,No
4412-YLTKF,Female,1,No,No,27,Medium,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,High,2135.5,,Yes,Yes
6734-PSBAW,Male,0,Yes,No,72,Long,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,Low,1723.95,,No,No
3930-ZGWVE,Male,0,No,No,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,Low,19.75,,No,No
2639-UGMAZ,Male,1,No,No,71,Long,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45,Medium,3985.35,,No,Yes
2876-GZYZC,Female,0,No,No,13,Medium,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,High,1215.65,,No,No
6207-WIOLX,Female,0,Yes,Yes,25,Medium,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,Medium,1502.65,,Yes,No
8587-XYZSF,Male,0,No,No,67,Long,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,Medium,3260.1,,No,No
3091-FYHKI,Male,0,No,No,1,New,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,Medium,35.45,,Yes,No
2372-HWUHI,Male,0,No,No,2,New,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,Medium,81.25,,Yes,No
7799-LGRDP,Female,0,No,No,43,Long,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,Low,1188.2,,No,No
7850-VWJUU,Female,0,No,No,23,Medium,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75,High,1778.5,,No,No
3774-VBNXY,Female,0,Yes,Yes,64,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,Low,1277.75,,No,No
6217-KDYWC,Male,0,No,Yes,57,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,Low,1170.55,,No,No
0390-DCFDQ,Female,1,Yes,No,1,New,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,High,70.45,,Yes,Yes
3146-MSEGF,Female,1,Yes,Yes,72,Long,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,High,6425.65,,No,Yes
4080-OGPJL,Female,0,No,No,8,New,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,High,563.65,,Yes,No
1095-WGNGG,Female,0,Yes,No,61,Long,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05,High,5971.25,,No,No
2636-SJDOU,Male,0,No,No,64,Long,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.3,High,5289.05,,No,No
1131-QQZEB,Male,1,Yes,No,71,Long,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.95,Low,1756.2,,No,Yes
5716-EZXZN,Female,0,Yes,Yes,65,Long,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,High,6416.7,,No,No
6837-BJYDQ,Male,0,No,No,3,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,Low,61.35,,No,No
2135-RXIHG,Male,0,No,No,1,New,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,Medium,45.65,,Yes,No
6440-DKQGE,Male,0,No,Yes,30,Medium,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,Medium,1929.95,,No,No
3466-BYAVD,Male,0,Yes,Yes,15,Medium,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,Medium,1071.4,,No,No
3780-YVMFA,Female,0,Yes,Yes,8,New,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,Medium,564.35,,No,No
3874-EQOEP,Male,0,No,No,7,New,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95,High,655.5,,Yes,No
